No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,ON SITE/ OFF SITE,Sub Item No. ,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation,
14,966,Ethulgama West ,7. Soil and water conservation measures (Wehigaldeniya Ihalawatte) (35 - 70°),ON,1,,,16 ha,"Stone terracing - 3 ha
Live fencing/SALT - 10 ha
Lock and spills - 3 ha
","2500 m-1
250 m-1
400 m-1","7500000.00
2500000.00
1200000",Labour and other basic services by the Local community,1.5 Years,Scattered
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,1,7.24,80.67,29 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 2,900,000.00 ",Labour and other basic services by the Local community/ Shramadana,1.5 Years,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,2,7.24,80.67,,,,,,,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,3,7.24,80.66,,,,,,,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,4,7.24,80.66,,,,,,,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,5, 7.24 , 80.66 ,,,,,,,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,6,7.24,80.66,,,,,,,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,7,7.24,80.65,,,,,,,
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,OFF,8,7.24,80.65,,,,,,,
15,967,Ethulgama North,2. Retaining Wall (Nikalanda Well),OFF,1, 7.24 , 80.66 ,25 m x 4 m,Retaining Wall using stones,"2,000.00 m-2"," 200,000.00 ",Guidance by NRMC ,0.25 Years,
15,967,Ethulgama North,3. Soil and water conservation/Overall  (35 - 70°),ON,1,,,8 ha,"Lock and spills - 2 ha
Stone terracing - 2 ha
Live fencing/SALT - 4 ha","400.00 m-1 
2500.00 m-1 
250.00 m-1 ","800000.00
5000000.00
1000000.00",Funds by the Project,0.5 Years,Scattered
